Val,Post FT Obama,Region,State,R Age,Marital Status,Education,Military Service,Employed,R Race,R Gender,Pre FT Bush,Pre FT Obama,Pre FT McCain,Pre FT Biden,Pre FT Palin,Pre FT H Clinton,Pre FT B Clinton,Pre FT Condi,Pre FT Rush Lim,Pre FT Dem Party,Pre FT Rep Party,Post FT Bush,Post FT McCain,Post FT Biden,Post FT Palin,FT Rich People,FT Middle Class,FT Poor People,FT Working Class People,FT Ill Immigrants,FT People on Welfare,FT Liberals,FT Conservatives,FT Feminists,FT Environmentalists,FT Gay People,FT Big Business,FT Labor Unions,FT Military,FT Fed Govt,FT Supreme Court,FT Congress,FT Whites,FT Blacks,FT Hispanics,FT Asian Amer,FT Southerners,FT Christian Fundamentalis,FT Catholics,FT Jews,FT Israel,FT Muslims,FT Hindus,FT Christians,FT Atheists,One Party Control Pre,Better Worse Year Ago Pre,Own Stock Pre,Has Health Ins pre,Hopeful About Obama pre,Afraid of Obama pre,Care Who Wins pre,Expect Close Race pre,Duty to vote pre,Economy Better pre,Party ID pre,Iraq War pre,Impact on Terrorismc pre,Attitude to Uni Health Care,Welfare Spending pre,War on Terror Spending,Death Penalty,R Owns Gun,Religion Imp to R,Prays Often,R Born Again,Sexual Orientation,Should combat terrorists,Income Gap,Abortion,Abortion Importance,Prompt to recog Cheney,Prompt to recog Gordon Brown,Prompt to recog J Roberts,Crooks in Govt,Handling Afgan War,Handling Iraq War,Torture
out,40,South,NC,42,Married,12,R has never served in the military,Working now,White,Female  ,30,0,85,,100,40,70,,40,30,70,40,60,50,85,50,85,85,85,15,40,60,60,85,50,15,50,50,100,60,50,60,,60,60,40,85,85,50,50,85,50,50,85,60,Better when control is split,Better,Yes,Yes,No,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Worth it,Increased,,Increased,Increased,Oppose,Yes,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Not too important,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,85,South,NC,40,Married,17,R has never served in the military,Working now,Black,Female  ,40,70,30,70,40,60,60,60,,70,50,50,60,70,60,60,70,70,85,50,60,70,60,60,70,70,70,85,100,50,85,50,,,,,70,85,70,,50,50,50,100,0,Better when control is split,,No,Yes,No,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Increased,,Kept about the same,Increased,Oppose,,Important,Several times a day,Yes,Heterosexual or straight,Somewhat important,About the same,"3. The law should permit abortion for reasons other than rape, incest,",Very important,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
in,50,South,NC,69,Married,15,R has never served in the military,Retired,White,Female  ,15,40,60,60,70,100,85,85,30,70,70,30,60,60,70,70,70,70,70,50,60,50,70,80,85,60,70,70,70,40,70,30,85,70,70,70,70,70,85,100,100,40,0,100,0,Better when control is split,The same ,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,,Increased,Kept about the same,Oppose,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"1. By law, abortion should never be permitted.",Very important,No,No,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,40,South,NC,64,Married,14,R has never served in the military,Homemaker,White,Female  ,0,0,0,0,50,100,100,0,0,100,50,15,60,50,85,85,100,85,100,40,50,85,85,85,100,85,85,85,100,85,85,85,100,40,85,70,100,85,50,85,50,15,15,100,40,Better when control is split,The same ,Yes,Yes,No,Yes,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Increased,Increased,Favor,Yes,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"3. The law should permit abortion for reasons other than rape, incest,",Very important,No,Yes,No,Quite a few are crooked,Disapprove,Disapprove,Neither favor nor oppose
out,40,South,NC,49,Married,15,R has never served in the military,Working now,White,Female  ,70,30,70,40,85,60,15,85,85,15,70,60,60,50,70,50,100,70,100,0,60,30,85,40,30,15,60,15,100,60,40,15,85,85,40,50,70,70,50,50,85,50,50,100,0,Better when control is split,Better,No,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Decreased,,Increased,Kept about the same,Favor,Yes,Important,Several times a day,Yes,Heterosexual or straight,Somewhat important,Somewhat larger,"2. The law should permit abortion only in case of rape, incest, or",Somewhat important,No,Yes,Yes,Quite a few are crooked,Approve,Neither approve nor disapprove,Favor
out,100,South,NC,46,Married,16,R has never served in the military,Working now,Native American,Female  ,15,100,30,100,15,70,70,30,15,85,15,0,30,100,0,85,100,100,100,100,100,100,40,100,100,100,40,100,60,40,60,70,100,100,100,100,100,15,100,70,70,100,100,100,100,Better when control is split,The same ,Yes,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,Neither favor nor oppose,Increased,Increased,Oppose,No,Not important,Once a week or less,,Heterosexual or straight,Somewhat important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,70,South,NC,54,Never married,13,R has never served in the military,Working now,White,Female  ,0,70,15,50,15,60,15,40,40,30,60,15,50,60,40,50,60,70,70,60,60,70,40,60,70,85,30,50,60,40,70,60,60,60,70,50,100,50,70,60,50,60,60,50,70,It doesnt matter,Better,No,No,Yes,No,Dont care very much,Will be close,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,Favor,Increased,Increased,Oppose,Yes,Not important,Once a week or less,,Homosexual or gay ,Somewhat important,Much larger,,,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,30,South,NC,28,Never married,15,R has never served in the military,Working now,White,Female  ,40,15,70,60,85,40,50,50,50,50,50,40,70,70,70,50,70,100,100,30,50,50,50,100,100,100,40,50,100,50,50,50,100,100,100,100,100,50,50,100,85,50,100,70,50,Better when control is split,Worse,No,Yes,No,Yes,Care a good deal,Win by quite a bit,Yes,Gotten worse,Independent,Not worth it,Decreased,Oppose,Kept about the same,Increased,Oppose,Yes,Important,Once a day,Yes,Bisexual,Very important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Neither favor nor oppose
in,85,South,NC,22,Never married,14,R has never served in the military,Working now,White,Female  ,0,60,15,50,15,50,50,,15,70,0,15,40,60,50,40,60,50,100,60,50,85,30,70,70,100,50,70,70,50,40,50,70,50,50,70,50,40,50,50,50,50,50,40,85,Better when control is split,Worse,No,No,Yes,No,Care a good deal,Will be close,No,Gotten worse,Democrat,Not worth it,Increased,,Increased,Kept about the same,Oppose,Yes,Important,Never,No,Heterosexual or straight,Somewhat important,Somewhat larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,No,Yes,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,50,South,NC,49,Married,17,R has never served in the military,Working now,White,Female  ,60,40,40,15,85,60,15,85,60,30,60,60,60,40,70,60,70,70,60,15,60,40,60,60,40,50,40,30,60,40,50,30,50,50,60,60,60,50,50,70,50,50,50,50,50,Better when control is split,Better,Yes,Yes,No,No,Care a good deal,Will be close,Yes,Gotten worse,Other party ,Not worth it,Decreased,,Increased,Increased,Favor,No,Not important,Never,,Heterosexual or straight,Somewhat important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,No,No,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,100,South,NC,66,Widowed,11,R has never served in the military,Retired,White,Female  ,15,85,0,70,0,40,0,,50,100,0,0,15,85,0,15,70,70,100,30,40,40,60,60,70,50,30,30,85,40,70,70,100,60,60,50,100,50,100,60,50,50,50,100,0,Better when control is split,Worse,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,Oppose,Increased,Increased,Favor,Yes,Important,A few times a week,No,Heterosexual or straight,Very important,Much larger,,,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Neither favor nor oppose
in,85,South,NC,79,Widowed,13,R has never served in the military,Retired,White,Female  ,40,60,30,70,40,70,85,60,50,70,40,40,60,70,50,50,60,60,70,40,60,60,40,60,70,50,40,70,70,60,70,60,70,60,60,60,60,50,70,60,60,50,50,70,50,Better when control is split,The same ,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,,Increased,Kept about the same,Favor,No,Important,Once a week or less,Yes,Heterosexual or straight,Very important,Much larger,"3. The law should permit abortion for reasons other than rape, incest,",Somewhat important,No,Yes,Yes,Not very many are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Oppose
in,100,South,NC,62,Married,9,R has never served in the military,Retired,Black,Male  ,0,100,0,100,60,40,100,100,15,100,30,0,0,100,0,15,90,100,100,0,100,95,85,15,100,0,85,100,85,90,100,50,100,100,0,15,80,50,85,85,80,15,0,100,0,Better when one party controls both,Better,No,Yes,Yes,Yes,Care a good deal,Win by quite a bit,Yes,Gotten better,Democrat,Not worth it,Increased,Favor,Increased,Increased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Not important at all,Much larger,,,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Favor
out,85,South,NC,69,Widowed,13,R has never served in the military,Retired,Black,Female  ,15,85,70,70,60,85,85,50,30,70,40,50,60,70,50,50,60,85,70,50,50,60,60,50,50,50,50,70,100,40,60,50,60,70,60,50,85,85,60,60,60,50,50,100,40,Better when control is split,The same ,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Increased,Increased,,No,Important,Once a day,No,Heterosexual or straight,Very important,Much larger,,,No,Yes,No,Not very many are crooked,Disapprove,Disapprove,Oppose
in,100,South,NC,21,Never married,12,R has never served in the military,Student,Black,Female  ,0,100,0,85,50,85,85,50,50,100,50,0,15,100,50,0,85,100,100,0,100,50,85,50,60,100,0,15,50,15,100,70,70,100,85,50,85,50,50,50,50,85,50,85,50,Better when one party controls both,The same ,No,Yes,Yes,Yes,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Increased,Favor,Increased,Decreased,Oppose,No,Important,A few times a week,,Homosexual or gay ,Very important,Much larger,,,No,No,No,Quite a few are crooked,Disapprove,Disapprove,Neither favor nor oppose
in,100,South,NC,32,Never married,12,R has never served in the military,Temporarily laid off,Black,Female  ,0,100,60,50,60,60,100,60,50,70,50,0,0,100,60,60,60,60,85,40,70,50,60,50,60,40,60,70,70,70,60,60,60,100,70,50,70,60,70,60,50,70,50,70,50,Better when one party controls both,Worse,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Decreased,,Increased,Increased,Oppose,No,Important,Several times a day,No,Heterosexual or straight,Very important,Somewhat larger,"2. The law should permit abortion only in case of rape, incest, or",Extremely important,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Favor
in,85,South,NC,38,Never married,12,R has never served in the military,Working now,Black,Female  ,50,85,60,70,70,85,100,85,40,85,70,40,40,70,15,100,100,70,100,70,60,70,85,60,70,50,100,70,100,70,85,70,100,85,70,85,85,85,85,60,70,60,,85,0,Better when control is split,Better,No,Yes,Yes,No,Care a good deal,Win by quite a bit,No,Gotten worse,Independent,Not worth it,Increased,,Increased,Increased,Oppose,No,Important,Several times a day,,Heterosexual or straight,Somewhat important,Somewhat larger,"2. The law should permit abortion only in case of rape, incest, or",Somewhat important,Yes,Yes,No,Not very many are crooked,Disapprove,Disapprove,Favor
out,100,South,NC,35,Married,16,R has never served in the military,Working now,Black,Female  ,0,100,15,70,0,70,85,30,0,85,40,0,40,70,40,60,85,85,100,40,70,70,40,70,85,70,40,60,70,40,70,40,85,100,70,85,100,70,60,85,70,50,50,100,0,Better when one party controls both,Better,Yes,No,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,Favor,Decreased,Increased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Somewhat important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,100,South,NC,32,Married,17,R has never served in the military,Working now,Black,Male  ,70,100,85,100,85,100,85,100,85,85,70,50,70,85,60,85,100,100,100,85,85,60,50,85,85,85,60,85,85,70,100,85,85,100,85,85,70,85,85,85,85,60,70,100,70,Better when control is split,Worse,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Independent,Not worth it,Increased,Neither favor nor oppose,Increased,Increased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,,,No,Yes,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,70,South,NC,47,Married,13,R has never served in the military,Working now,White,Male  ,85,70,85,50,70,85,60,60,50,60,85,70,85,60,60,70,85,70,85,0,60,50,85,60,85,40,70,40,100,60,85,70,85,70,70,70,100,85,60,70,70,70,70,100,0,Better when one party controls both,Better,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten better,Republican,Not worth it,Stayed about the same,,Decreased,Kept about the same,Favor,Yes,Important,A few times a week,Yes,Heterosexual or straight,Very important,Somewhat larger,"2. The law should permit abortion only in case of rape, incest, or",Extremely important,No,Yes,No,Hardly any are crooked,Approve,Approve,Oppose
out,85,South,NC,53,Married,14,Not currently serving but previously served,Working now,Black,Male  ,15,100,30,70,50,60,60,50,30,60,15,15,15,70,30,50,85,100,100,50,50,60,50,50,60,50,60,50,85,50,50,50,70,100,50,50,60,50,50,50,60,50,50,85,50,It doesnt matter,Worse,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,Oppose,Increased,Increased,Oppose,No,Important,Once a day,Yes,Heterosexual or straight,Very important,Much larger,,,No,Yes,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,70,South,NC,52,Married,10,R has never served in the military,Temporarily laid off,Black,Male  ,30,85,50,50,,60,75,60,,70,50,40,50,50,,60,85,100,100,0,85,50,60,50,60,50,50,70,100,50,60,50,85,100,60,85,50,70,60,70,60,80,,100,50,It doesnt matter,Worse,No,No,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Increased,Oppose,Increased,Increased,,No,Important,Several times a day,Yes,Heterosexual or straight,Somewhat important,Much larger,,,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,85,South,NC,43,Married,14,R has never served in the military,Working now,White,Female  ,40,70,15,,30,100,95,,,70,30,40,15,50,40,40,60,100,100,30,70,60,70,100,50,40,95,50,60,70,85,60,100,70,60,100,40,50,100,85,50,50,50,100,15,,Worse,Yes,Yes,Yes,No,Care a good deal,Will be close,No,Gotten worse,Democrat,Not worth it,Stayed about the same,,Decreased,Kept about the same,Favor,,Important,A few times a week,Yes,Heterosexual or straight,Very important,Somewhat larger,"3. The law should permit abortion for reasons other than rape, incest,",Not too important,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,100,South,NC,54,Married,14,R has never served in the military,Working now,Black,Female  ,40,85,50,50,50,60,50,50,,85,50,40,40,85,50,50,85,85,70,40,70,85,50,50,70,50,70,60,40,70,60,50,50,70,50,85,85,60,70,85,85,50,50,100,50,Better when control is split,Better,Yes,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Kept about the same,Increased,Oppose,Yes,Important,Once a day,Yes,Heterosexual or straight,Very important,Much larger,"3. The law should permit abortion for reasons other than rape, incest,",Somewhat important,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,100,South,NC,77,Widowed,12,R has never served in the military,Retired,Black,Female  ,40,70,40,85,30,85,85,70,0,85,60,0,30,70,15,70,70,70,80,30,70,60,40,100,70,60,70,30,70,40,70,60,70,100,60,40,100,,80,70,70,60,40,100,15,It doesnt matter,Worse,Yes,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,Oppose,Increased,Increased,Oppose,Yes,Important,Several times a day,Yes,Heterosexual or straight,Very important,About the same,,,No,Yes,No,Not very many are crooked,Disapprove,Disapprove,Neither favor nor oppose
in,100,South,NC,31,Married,11,R has never served in the military,Homemaker,White,Female  ,0,100,15,85,15,100,85,15,0,100,0,0,15,100,15,40,85,85,85,50,85,,30,70,70,50,30,60,70,50,50,,50,50,50,50,50,,50,,70,50,50,70,50,Better when control is split,Better,No,No,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Kept about the same,Decreased,Oppose,No,Important,Several times a day,Yes,Heterosexual or straight,Not important at all,Somewhat larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,100,South,NC,38,Never married,12,R has never served in the military,Working now,Black,Female  ,0,100,0,85,0,85,100,0,0,100,15,0,15,100,15,50,50,50,50,50,50,50,50,50,50,50,50,50,100,15,,,100,100,50,50,50,,50,50,50,50,,100,0,Better when one party controls both,Worse,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,,,Decreased,,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,100,South,NC,41,Separated,10,R has never served in the military,Working now,Black,Female  ,0,100,0,85,15,100,100,60,0,100,15,15,15,85,0,50,85,70,100,0,60,40,40,85,60,60,40,70,100,40,70,40,70,100,40,70,100,85,70,70,70,70,50,100,0,Better when control is split,Worse,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,Oppose,Kept about the same,Increased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Somewhat larger,,,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Favor
out,100,South,NC,43,Married,16,R has never served in the military,Working now,Black,Female  ,40,85,50,50,40,95,100,100,60,85,40,40,50,100,15,70,85,70,100,40,60,60,60,85,85,85,50,60,100,85,85,60,70,85,70,60,100,50,60,70,85,60,50,100,0,Better when control is split,Better,Yes,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,,Increased,Increased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Favor
out,70,South,NC,45,Divorced,12,R has never served in the military,Working now,White,Female  ,15,30,30,,40,60,70,,30,95,30,15,15,40,40,30,60,85,100,0,15,60,85,60,60,50,15,30,100,15,70,30,85,85,50,85,85,40,50,50,50,15,50,85,0,Better when control is split,Worse,No,No,Yes,Yes,Dont care very much,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Increased,Favor,Increased,Decreased,Favor,Yes,Important,Once a day,No,Heterosexual or straight,Very important,Somewhat smaller,,,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,100,South,NC,51,Never married,16,R has never served in the military,Working now,Black,Female  ,0,100,60,100,50,40,60,60,0,100,70,0,60,85,60,100,100,100,100,15,40,50,85,50,50,50,100,100,100,70,100,100,100,100,100,100,100,50,50,100,50,50,50,100,100,Better when control is split,Worse,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,Oppose,Increased,Increased,Oppose,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,About the same,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Favor
out,70,South,NC,63,Married,9,R has never served in the military,Working now,White,Male  ,40,50,40,40,30,60,60,30,0,70,50,60,50,70,50,50,,50,60,50,50,50,50,50,70,50,50,85,85,60,60,70,85,50,50,,,50,50,50,50,40,50,70,30,It doesnt matter,The same ,Yes,Yes,Yes,No,Dont care very much,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,,Increased,Increased,Favor,Yes,Not important,Never,,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Approve,Oppose
in,85,South,NC,49,Divorced,12,R has never served in the military,Working now,White,Female  ,60,60,60,60,60,70,70,85,60,60,60,60,85,85,70,60,100,100,100,60,85,60,60,60,85,100,60,40,100,60,85,60,100,100,85,100,100,85,85,85,100,85,60,100,85,,Better,Yes,Yes,Yes,No,Care a good deal,Will be close,No,Gotten worse,Independent,Not worth it,Stayed about the same,Favor,Kept about the same,Kept about the same,Favor,Yes,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
out,85,South,NC,57,Divorced,16,R has never served in the military,Working now,White,Female  ,40,60,40,15,60,0,0,70,70,40,40,40,15,50,15,30,100,100,100,0,0,100,50,85,100,50,70,100,100,50,50,40,50,40,0,0,50,40,50,50,100,50,50,100,0,Better when control is split,Worse,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,,Increased,Decreased,Oppose,No,Important,Several times a day,,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,60,South,NC,44,Married,11,R has never served in the military,Permanently disabled,White,Male  ,50,50,50,50,50,85,100,30,0,70,50,50,60,50,70,0,40,0,70,0,30,50,50,60,50,40,70,50,40,0,0,0,50,50,0,0,50,0,50,40,0,0,0,50,50,It doesnt matter,Worse,No,Yes,No,No,Dont care very much,Will be close,Yes,Gotten worse,Independent,Not worth it,Increased,,Increased,Increased,Favor,No,Not important,Never,,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,No,Yes,No,Not very many are crooked,Disapprove,Disapprove,Neither favor nor oppose
in,85,South,NC,65,Married,10,Not currently serving but previously served,Permanently disabled,White,Male  ,85,100,85,,85,100,100,,,100,40,60,50,70,60,70,85,100,70,50,100,,,70,,50,85,,100,50,70,70,100,85,70,85,50,,50,50,50,50,50,100,,,Worse,No,Yes,Yes,No,Care a good deal,Win by quite a bit,No,Stayed about the same,,,Increased,Favor,Kept about the same,Increased,Oppose,No,Important,Once a day,Yes,Heterosexual or straight,Very important,Somewhat smaller,,,Yes,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
out,40,South,NC,62,Married,8,Not currently serving but previously served,Homemaker,White,Male  ,100,0,70,30,100,40,60,85,85,50,100,85,60,15,100,100,50,100,100,0,70,60,100,50,60,30,50,40,100,70,50,40,100,70,60,70,70,60,50,85,50,50,50,100,0,Better when control is split,The same ,No,Yes,No,No,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Decreased,,Decreased,Kept about the same,Favor,Yes,Important,A few times a week,No,Heterosexual or straight,Very important,Much larger,"2. The law should permit abortion only in case of rape, incest, or",Somewhat important,No,Yes,Yes,Quite a few are crooked,Approve,Approve,Favor
in,100,South,NC,25,Never married,16,R has never served in the military,Working now,Black,Female  ,0,85,0,70,40,70,70,40,0,85,0,0,30,85,40,50,100,100,100,85,100,100,15,100,100,100,60,100,85,40,70,40,100,100,100,100,100,30,100,100,70,100,100,85,100,Better when control is split,Worse,No,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,Favor,Increased,Kept about the same,Oppose,No,Not important,Several times a day,,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,100,South,NC,40,Never married,12,R has never served in the military,Working now,Black,Male  ,15,100,15,100,70,100,100,100,70,100,0,40,40,100,60,100,100,100,100,50,100,100,60,100,100,0,60,60,100,70,60,60,100,100,100,100,100,85,70,100,100,40,40,100,0,Better when one party controls both,Worse,Yes,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Increased,,Increased,Kept about the same,Favor,Yes,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"2. The law should permit abortion only in case of rape, incest, or",Very important,No,No,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,70,South,NC,23,Never married,12,R has never served in the military,Working now,Black,Male  ,40,60,50,,,60,70,,,60,40,15,50,,,50,50,50,60,50,50,50,50,50,50,50,60,30,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,60,50,Better when control is split,Better,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,Favor,Kept about the same,Increased,Favor,No,Important,A few times a week,No,Heterosexual or straight,Somewhat important,Somewhat larger,,,Yes,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Neither favor nor oppose
out,75,South,NC,81,Widowed,12,R has never served in the military,Retired,White,Female  ,60,70,60,60,40,40,30,70,15,40,85,50,50,75,50,50,50,75,100,0,25,50,50,25,50,0,50,25,100,50,75,50,100,10,50,50,100,50,75,25,25,0,10,100,0,Better when one party controls both,Better,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Increased,Favor,Increased,Kept about the same,Oppose,No,Important,Several times a day,No,Heterosexual or straight,Very important,About the same,,,No,No,No,Not very many are crooked,Approve,Approve,Oppose
in,70,South,NC,,,16,R has never served in the military,Retired,White,Female  ,85,60,85,85,85,85,70,60,,0,85,85,85,85,100,60,60,30,40,30,40,50,50,60,60,40,50,50,85,85,,40,60,40,70,60,85,70,70,85,70,60,50,60,50,Better when one party controls both,Worse,No,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Increased,Favor,Increased,Kept about the same,Favor,No,Important,Once a day,Yes,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Approve,Approve,
out,85,South,NC,46,Divorced,14,R has never served in the military,Working now,Black,Male  ,15,85,50,60,40,70,70,60,50,60,50,30,70,70,50,50,70,70,85,50,50,70,60,30,70,30,40,70,70,50,60,50,70,85,70,70,70,60,70,70,70,60,50,60,30,Better when control is split,Better,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Increased,Increased,Favor,Yes,Important,Once a week or less,No,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
in,85,South,NC,30,Married,16,R has never served in the military,Student,Black,Male  ,40,100,40,70,40,85,85,40,15,85,40,40,40,70,30,50,85,85,85,40,85,85,70,40,70,85,40,70,40,60,40,70,85,85,85,85,85,70,85,85,70,85,85,85,70,Better when control is split,Better,No,No,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,Neither favor nor oppose,Decreased,Kept about the same,Oppose,No,Important,Several times a day,Yes,Heterosexual or straight,Somewhat important,Much larger,,,No,Yes,No,Quite a few are crooked,Disapprove,Disapprove,Neither favor nor oppose
in,70,South,NC,45,Married,12,R has never served in the military,Unemployed,Black,Female  ,40,85,40,85,40,85,85,15,,100,40,15,15,70,50,15,70,100,85,,60,50,70,70,70,50,70,70,100,70,70,70,70,70,50,40,100,85,,50,60,,40,70,,Better when one party controls both,Worse,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Increased,Increased,Oppose,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,Yes,No,No,Not very many are crooked,Neither approve nor disapprove,Disapprove,Favor
