Val,Post FT Obama,Region,R Age,Marital Status,Education,Military Service,Employed,R Race,R Gender,Pre FT Bush,Pre FT Obama,Pre FT McCain,Pre FT Biden,Pre FT Palin,Pre FT H Clinton,Pre FT B Clinton,Pre FT Condi,Pre FT Rush Lim,Pre FT Dem Party,Pre FT Rep Party,Post FT Bush,Post FT McCain,Post FT Biden,Post FT Palin,FT Rich People,FT Middle Class,FT Poor People,FT Working Class People,FT Ill Immigrants,FT People on Welfare,FT Liberals,FT Conservatives,FT Feminists,FT Environmentalists,FT Gay People,FT Big Business,FT Labor Unions,FT Military,FT Fed Govt,FT Supreme Court,FT Congress,FT Whites,FT Blacks,FT Hispanics,FT Asian Amer,FT Southerners,FT Christian Fundamentalis,FT Catholics,FT Jews,FT Israel,FT Muslims,FT Hindus,FT Christians,FT Atheists,One Party Control Pre,Better Worse Year Ago Pre,Own Stock Pre,Has Health Ins pre,Hopeful About Obama pre,Afraid of Obama pre,Care Who Wins pre,Expect Close Race pre,Duty to vote pre,Economy Better pre,Party ID pre,Iraq War pre,Impact on Terrorismc pre,"Attitude to Uni Health Care, pre",Welfare Spending pre,War on Terror Spending,Death Penalty,R Owns Gun,Religion Imp to R,Prays Often,R Born Again,Sexual Orientation,Should combat terrorists,Income Gap,Abortion,Abortion Importance,Prompt to recog Cheney,Prompt to recog Gordon Brown,Prompt to recog J Roberts,Crooks in Govt,Handling Afgan War,Handling Iraq War,Torture
out,100,South,78,Married,17,R has never served in the military,Retired,Black,Female,30,100,70,85,50,100,85,70,5,100,70,70,70,100,50,70,85,85,85,50,60,50,50,,,,70,,85,,70,60,85,70,85,50,85,,85,70,50,50,50,70,50,Better when control is split,Better,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,Favor,Increased,Increased,Oppose,No,Important,Several times a day,No,Heterosexual or straight,Somewhat important,About the same,,,No,Yes,Yes,Not very many are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Neither favor nor oppose
in,100,South,82,Widowed,9,Not currently serving but previously served,Retired,Black,Male,0,100,0,100,,70,85,0,,100,0,50,50,100,,100,100,100,100,50,100,,,50,,0,100,100,100,50,50,50,100,100,50,100,100,,100,50,50,100,,100,50,Better when one party controls both,Worse,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Decreased,Increased,,Yes,Important,Once a week or less,No,Heterosexual or straight,Somewhat important,About the same,"1. By law, abortion should never be permitted.",Not too important,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Favor
out,100,South,31,Never married,12,R has never served in the military,Unemployed,Black,Male,30,85,50,,50,85,70,40,40,85,15,40,50,85,85,70,85,70,60,85,60,50,50,50,85,50,85,40,100,30,30,40,85,85,85,70,100,70,85,85,50,70,85,100,0,Better when control is split,Better,No,No,Yes,No,Care a good deal,Will be close,Yes,Stayed about the same,Democrat,Not worth it,Increased,,Increased,Increased,Favor,Yes,Important,Once a day,No,Heterosexual or straight,Very important,Much larger,"2. The law should permit abortion only in case of rape, incest, or",Somewhat important,No,Yes,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,100,South,32,Never married,12,R has never served in the military,Unemployed,Black,Male,0,60,0,,,100,100,40,,40,50,0,0,40,0,60,60,60,60,,60,60,60,60,60,,60,,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,100,60,It doesnt matter,Worse,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Stayed about the same,Democrat,Not worth it,Increased,Favor,Increased,Increased,Favor,No,Important,A few times a week,,Heterosexual or straight,Somewhat important,About the same,,,Yes,Yes,Yes,Quite a few are crooked,Neither approve nor disapprove,Disapprove,Neither favor nor oppose
in,100,South,50,Never married,11,R has never served in the military,Unemployed,Black,Female,40,70,50,,,40,40,60,30,60,40,60,15,100,50,30,60,100,100,40,60,50,60,60,50,60,60,30,15,60,50,50,100,100,60,50,70,100,50,50,50,50,50,100,15,Better when one party controls both,Worse,No,No,Yes,No,Care a good deal,Win by quite a bit,No,Gotten worse,,Not worth it,Increased,,Decreased,Kept about the same,Favor,No,Important,A few times a week,Yes,Heterosexual or straight,Not important at all,Much larger,"2. The law should permit abortion only in case of rape, incest, or",Very important,Yes,Yes,Yes,Not very many are crooked,Disapprove,Approve,Neither favor nor oppose
in,100,South,29,Never married,14,R has never served in the military,Student,Black,Female,60,85,60,50,60,85,100,85,70,85,60,60,60,85,70,70,85,100,100,70,85,,85,85,50,0,85,85,100,85,85,85,85,85,85,85,85,,100,85,85,85,85,100,0,Better when one party controls both,Better,No,Yes,Yes,No,Dont care very much,Will be close,Yes,Stayed about the same,Independent,Not worth it,Increased,,Increased,Increased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Somewhat important,Somewhat larger,"2. The law should permit abortion only in case of rape, incest, or",Somewhat important,No,No,No,Not very many are crooked,Disapprove,Disapprove,Favor
in,100,South,45,Married,12,R has never served in the military,Working now,Black,Male,0,100,0,85,0,100,100,50,50,100,50,0,0,100,0,50,85,85,100,50,60,0,85,50,50,50,40,85,100,40,60,50,100,100,50,50,85,100,50,50,50,50,,100,50,Better when one party controls both,Better,No,No,Yes,No,Care a good deal,Will be close,Yes,Stayed about the same,Democrat,Not worth it,Increased,,Decreased,Increased,Favor,No,Important,Several times a day,No,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Neither favor nor oppose
out,100,South,47,Divorced,12,R has never served in the military,Permanently disabled,Black,Female,50,100,50,70,70,70,100,70,,100,15,0,15,50,70,100,100,100,100,0,50,,,0,,85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,60,,100,0,Better when control is split,Worse,No,Yes,No,No,Care a good deal,Will be close,Yes,Gotten better,Independent,Worth it,Decreased,Favor,Increased,Increased,Oppose,No,Important,Once a day,,Heterosexual or straight,Very important,About the same,,,Yes,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Neither favor nor oppose
in,85,South,26,Never married,12,R has never served in the military,Working now,Black,Female,60,85,40,,70,85,85,,,85,70,60,50,85,60,85,100,85,100,50,70,70,85,,100,50,100,85,100,100,85,85,85,85,70,70,85,100,100,50,50,50,,100,,,Better,No,No,No,No,Care a good deal,Will be close,Yes,Stayed about the same,Democrat,Not worth it,Increased,,Kept about the same,Increased,Favor,No,Important,A few times a week,No,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,Yes,Yes,Yes,Not very many are crooked,Neither approve nor disapprove,Disapprove,Oppose
out,100,South,25,Never married,12,R has never served in the military,Unemployed,Black,Male,50,100,50,0,30,40,100,0,15,60,70,50,50,50,0,100,70,60,100,100,85,60,85,60,50,50,100,85,100,85,70,100,85,100,85,100,50,85,85,50,50,50,50,100,50,It doesnt matter,Worse,No,Yes,Yes,No,Care a good deal,Win by quite a bit,No,Gotten worse,Independent,Not worth it,Stayed about the same,Oppose,Kept about the same,Increased,Favor,Yes,Important,A few times a week,No,Heterosexual or straight,Somewhat important,About the same,,,Yes,Yes,Yes,Hardly any are crooked,Disapprove,Disapprove,Oppose
out,100,South,43,Separated,16,Not currently serving but previously served,Working now,Black,Male,15,70,60,50,40,85,60,70,40,60,40,50,60,60,40,50,70,70,70,15,50,50,60,60,70,50,30,50,85,50,70,50,60,60,50,70,85,60,50,60,60,50,50,85,40,Better when control is split,Better,No,Yes,No,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,,Kept about the same,Increased,Oppose,Yes,Important,Once a day,No,Heterosexual or straight,Very important,Much larger,"2. The law should permit abortion only in case of rape, incest, or",Very important,Yes,No,Yes,Quite a few are crooked,Disapprove,Disapprove,Favor
in,50,South,18,Never married,12,R has never served in the military,Unemployed,Black,Female,60,85,70,50,50,60,85,50,,70,70,50,50,50,5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,It doesnt matter,Better,No,Yes,No,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Increased,,Kept about the same,Increased,Favor,No,Important,Once a week or less,No,Heterosexual or straight,Very important,Somewhat larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,No,Yes,Yes,Not very many are crooked,Neither approve nor disapprove,Disapprove,Oppose
out,100,South,44,Never married,12,Not currently serving but previously served,Working now,Black,Female,30,50,30,,,50,85,50,50,70,0,0,0,50,70,50,100,50,100,50,50,60,50,60,100,50,50,60,70,50,85,50,85,100,50,50,100,50,60,60,70,70,50,100,0,Better when control is split,Better,No,No,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,,Increased,Increased,Oppose,No,Important,Several times a day,No,Heterosexual or straight,Very important,About the same,"2. The law should permit abortion only in case of rape, incest, or",Very important,No,No,No,Not very many are crooked,Disapprove,Disapprove,Oppose
in,100,South,53,Never married,11,R has never served in the military,Working now,Black,Female,0,100,0,,50,85,100,50,,85,50,50,50,,50,100,100,100,100,50,50,70,100,70,85,50,70,100,100,70,85,100,100,100,70,100,100,100,100,100,,60,,100,,It doesnt matter,Better,No,No,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Increased,Increased,Oppose,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"2. The law should permit abortion only in case of rape, incest, or",Extremely important,Yes,Yes,Yes,Quite a few are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Oppose
out,85,South,38,Never married,11,R has never served in the military,Working now,Black,Male,70,85,70,50,50,70,70,50,50,70,40,60,70,85,50,60,85,85,100,60,40,85,50,50,85,50,60,100,85,85,85,70,85,85,85,85,100,85,85,60,40,60,50,100,0,Better when control is split,Worse,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Increased,,Increased,Kept about the same,Oppose,No,Important,Once a day,Yes,Heterosexual or straight,Very important,Much larger,"2. The law should permit abortion only in case of rape, incest, or",Very important,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
in,100,South,79,Widowed,12,R has never served in the military,Retired,Black,Female,60,85,60,70,30,100,100,85,100,85,70,50,70,100,30,60,60,85,100,15,0,,50,,,50,50,50,70,70,60,70,70,70,60,15,60,60,70,70,70,0,,100,0,Better when control is split,Better,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Increased,Kept about the same,Oppose,,Important,Several times a day,Yes,Heterosexual or straight,Very important,About the same,"2. The law should permit abortion only in case of rape, incest, or",Not at all important,No,Yes,No,Not very many are crooked,Disapprove,Disapprove,Oppose
in,100,South,55,Married,12,R has never served in the military,Working now,Black,Female,50,70,50,,50,60,70,50,30,60,50,40,50,40,40,40,85,50,100,40,40,60,50,70,40,50,40,60,100,30,60,40,85,100,40,40,85,70,60,30,50,,,85,15,Better when control is split,Better,No,Yes,Yes,No,Care a good deal,Will be close,No,Gotten worse,Independent,Not worth it,Stayed about the same,,Increased,Decreased,Favor,No,Important,Once a day,Yes,Heterosexual or straight,Very important,Much larger,"2. The law should permit abortion only in case of rape, incest, or",Very important,Yes,No,No,Quite a few are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Neither favor nor oppose
in,100,South,44,Divorced,14,R has never served in the military,Working now,Black,Female,50,100,50,80,0,100,100,80,0,90,0,50,85,60,50,85,85,85,85,50,70,60,85,70,85,85,85,85,70,85,85,85,85,100,70,85,85,70,85,85,70,70,70,100,70,Better when control is split,Better,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Increased,,Increased,Increased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,Yes,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
in,85,South,53,Never married,12,R has never served in the military,Unemployed,Black,Male,40,60,40,,,85,85,85,60,100,30,30,30,,50,50,50,85,85,50,50,50,50,50,70,50,50,70,70,60,60,60,50,100,50,50,50,50,50,50,50,50,50,50,50,Better when one party controls both,Worse,No,No,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Increased,Oppose,Increased,Cut out entirely ,Favor,No,Important,Once a day,No,Heterosexual or straight,Very important,Somewhat smaller,,,No,Yes,No,Not very many are crooked,Disapprove,Disapprove,Neither favor nor oppose
out,100,South,69,Divorced,12,R has never served in the military,Retired,Black,Female,0,100,0,100,0,85,85,,0,100,0,50,50,100,50,70,85,85,100,,60,70,85,,,,100,100,100,85,85,85,85,85,,,100,85,85,85,,,,100,,Better when one party controls both,The same ,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,,Stayed about the same,Favor,Increased,Increased,Oppose,No,Important,Once a day,Yes,Heterosexual or straight,Very important,Much larger,,,No,Yes,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,50,South,28,Married,11,R has never served in the military,Unemployed,Black,Male,0,50,50,50,50,85,70,,60,,,15,50,50,70,60,50,50,60,60,50,50,40,100,50,0,50,50,85,50,30,50,60,60,60,50,70,50,60,60,50,50,,70,50,It doesnt matter,Better,No,No,No,No,Dont care very much,Win by quite a bit,Yes,Stayed about the same,,Not worth it,Stayed about the same,,Increased,Increased,Oppose,No,Important,A few times a week,No,Heterosexual or straight,Very important,Much larger,"1. By law, abortion should never be permitted.",Not too important,Yes,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Neither favor nor oppose
in,100,South,25,Never married,10,R has never served in the military,Permanently disabled,Black,Female,70,85,70,,,50,100,,,,,0,30,,,50,60,60,60,40,60,30,30,40,50,50,50,40,40,50,40,50,100,100,50,50,90,50,100,30,40,40,30,50,30,It doesnt matter,Better,No,Yes,Yes,No,Dont care very much,Will be close,No,Stayed about the same,Independent,Not worth it,Stayed about the same,,Increased,Increased,Favor,No,Important,Several times a day,,Heterosexual or straight,Somewhat important,Somewhat smaller,"2. The law should permit abortion only in case of rape, incest, or",Not too important,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Neither favor nor oppose
in,100,South,70,Divorced,12,R has never served in the military,Permanently disabled,Black,Male,50,100,0,,,85,85,50,50,100,0,0,0,0,,50,85,100,85,0,85,50,85,0,0,0,100,100,100,100,85,100,100,100,50,85,100,100,85,50,70,0,0,100,0,It doesnt matter,Worse,No,Yes,Yes,No,,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Increased,Favor,Increased,Kept about the same,,No,,Once a day,Yes,Heterosexual or straight,Very important,Much smaller,,,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Neither favor nor oppose
in,60,South,48,Never married,10,Not currently serving but previously served,Working now,Black,Male,40,50,30,,40,70,70,50,30,50,40,50,50,50,50,50,70,85,70,70,60,50,60,50,50,0,85,40,100,60,70,40,60,70,50,50,60,70,85,50,50,50,50,85,50,It doesnt matter,Better,No,No,No,No,Dont care very much,Will be close,No,Gotten worse,Independent,Not worth it,Stayed about the same,,Kept about the same,Increased,Favor,No,Important,A few times a week,No,Heterosexual or straight,Somewhat important,Somewhat larger,"2. The law should permit abortion only in case of rape, incest, or",Somewhat important,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Neither favor nor oppose
out,70,South,60,Married,12,R has never served in the military,Working now,Black,Female,60,70,70,,,85,85,70,,100,85,50,50,70,50,60,100,85,100,50,60,85,60,100,60,30,60,100,100,70,70,70,100,100,60,60,100,85,60,70,60,50,30,100,0,It doesnt matter,Worse,No,No,Yes,Yes,Care a good deal,,Yes,Gotten worse,Democrat,Not worth it,Increased,,Increased,Increased,Favor,Yes,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"1. By law, abortion should never be permitted.",Not too important,No,No,No,Not very many are crooked,Disapprove,Disapprove,Favor
in,40,South,47,Divorced,14,Not currently serving but previously served,Working now,White,Male,85,40,85,50,40,15,30,70,70,50,50,70,70,50,60,50,50,50,100,0,30,30,60,40,85,50,50,50,100,50,50,50,50,50,50,50,60,85,100,50,85,50,50,100,50,Better when control is split,Better,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Independent,Worth it,Stayed about the same,Favor,Decreased,Increased,Favor,Yes,Not important,Once a day,No,Heterosexual or straight,Very important,Much larger,,,No,No,No,Quite a few are crooked,Approve,Approve,Favor
in,60,South,57,Married,17,R has never served in the military,Working now,White,Female,85,60,85,30,70,15,15,40,60,40,40,80,80,50,60,10,100,60,100,0,10,50,70,80,80,50,10,80,100,70,70,70,100,50,50,50,100,70,80,80,70,0,50,100,30,Better when control is split,Worse,No,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,Favor,Increased,Decreased,Favor,Yes,Important,Once a day,No,Heterosexual or straight,Somewhat important,Much larger,,,No,No,No,Quite a few are crooked,Disapprove,Disapprove,Favor
out,30,South,30,Married,15,R has never served in the military,Working now,White,Female,70,30,70,50,70,50,40,50,0,50,50,60,60,30,60,100,100,100,100,50,50,0,60,50,50,50,15,50,70,30,50,50,50,50,50,50,70,50,50,50,70,40,50,50,0,Better when one party controls both,Better,Yes,No,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Decreased,Neither favor nor oppose,Kept about the same,Kept about the same,Favor,,Important,Several times a day,Yes,Heterosexual or straight,Somewhat important,Much larger,,,No,No,No,Quite a few are crooked,Approve,Approve,Favor
out,10,South,46,Married,17,R has never served in the military,Working now,White,Male,75,15,70,15,90,15,25,85,85,20,65,65,70,10,90,65,85,85,85,25,50,25,85,10,30,85,65,10,90,30,65,5,85,85,85,75,85,85,85,85,75,40,50,85,50,Better when control is split,The same ,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Decreased,Oppose,Kept about the same,Kept about the same,Favor,Yes,Important,Several times a day,Yes,Heterosexual or straight,Very important,Somewhat smaller,,,No,No,No,Quite a few are crooked,Approve,Approve,Oppose
out,70,South,49,Married,12,R has never served in the military,Unemployed,White,Female,40,50,50,50,50,50,60,40,60,60,40,30,30,50,30,50,50,50,50,30,40,50,50,50,60,50,50,40,60,50,50,50,50,50,50,50,50,50,60,50,50,50,50,50,50,Better when control is split,Worse,No,No,No,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Decreased,,Increased,Kept about the same,Favor,Yes,Important,Once a day,No,Heterosexual or straight,Very important,About the same,"2. The law should permit abortion only in case of rape, incest, or",Somewhat important,No,No,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,15,South,47,Married,12,Not currently serving but previously served,Working now,White,Male,85,15,70,40,100,70,85,100,70,60,85,85,85,60,100,100,100,100,100,0,40,30,100,0,70,50,70,50,100,70,70,85,100,70,70,70,100,60,85,70,100,60,70,100,30,Better when control is split,Worse,No,No,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Independent,Worth it,Decreased,Oppose,Decreased,Decreased,Oppose,No,Important,A few times a week,,Heterosexual or straight,Very important,Much larger,,,No,No,No,Quite a few are crooked,Approve,Approve,Favor
in,100,South,58,Widowed,12,R has never served in the military,Working now,White,Female,70,100,100,,100,85,0,100,,100,50,50,60,100,50,,100,100,100,0,70,0,100,100,70,0,100,100,100,70,100,100,100,100,100,100,100,70,70,70,100,50,50,10,0,Better when control is split,Worse,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Worth it,Increased,,Kept about the same,Increased,Oppose,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"3. The law should permit abortion for reasons other than rape, incest,",Extremely important,Yes,No,No,Quite a few are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Oppose
out,60,South,31,Married,14,R has never served in the military,Working now,White,Female,40,55,70,0,40,85,80,10,50,50,50,60,65,30,60,2,100,90,100,0,40,50,50,15,50,0,40,30,100,40,50,40,85,70,0,30,100,,50,50,50,0,0,100,0,Better when control is split,Worse,No,No,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,,Worth it,Increased,,Increased,Decreased,Favor,Yes,Important,A few times a week,Yes,Heterosexual or straight,Not important at all,Much larger,"1. By law, abortion should never be permitted.",Very important,Yes,Yes,Yes,Quite a few are crooked,Approve,Approve,Favor
out,100,South,58,Separated,12,R has never served in the military,Working now,White,Female,0,60,50,60,70,100,100,70,15,100,0,0,15,85,30,100,100,100,100,60,85,50,50,85,85,85,70,100,100,15,30,60,70,85,70,70,100,100,70,85,100,60,0,100,50,Better when one party controls both,The same ,No,No,No,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Decreased,Decreased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Somewhat larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,No,No,No,Not very many are crooked,Disapprove,Disapprove,Oppose
out,70,South,,Married,14,R has never served in the military,Working now,White,Female,70,40,50,50,100,30,30,70,50,85,85,70,70,,70,100,100,100,100,50,100,100,100,100,100,50,100,70,100,70,100,100,100,100,100,85,70,100,100,100,100,,,100,0,Better when control is split,Better,No,Yes,No,No,Care a good deal,,Yes,Gotten worse,Independent,Worth it,Decreased,,Increased,Increased,Oppose,Yes,Important,Several times a day,Yes,Heterosexual or straight,Very important,Somewhat larger,"1. By law, abortion should never be permitted.",Somewhat important,No,No,No,Quite a few are crooked,Approve,Approve,Oppose
out,50,South,50,Widowed,12,R has never served in the military,Permanently disabled,White,Female,50,50,30,40,80,90,40,90,0,50,50,40,40,50,40,40,50,70,70,15,50,40,30,40,60,30,30,50,100,15,40,50,50,50,40,30,100,50,40,50,50,30,30,85,0,Better when control is split,Worse,No,Yes,Yes,Yes,Dont care very much,Will be close,Yes,Gotten worse,Democrat,Worth it,Decreased,Favor,Kept about the same,Increased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Somewhat larger,,,Yes,No,No,Quite a few are crooked,Approve,Approve,Favor
in,50,South,37,Separated,12,R has never served in the military,Working now,White,Female,50,50,50,,50,50,50,,,50,50,15,50,50,50,30,70,70,70,0,70,50,50,70,60,60,50,60,70,50,50,50,70,60,70,60,70,70,70,50,50,50,50,70,50,It doesnt matter,Worse,No,No,,,Dont care very much,,Yes,Gotten worse,No preference ,Not worth it,Stayed about the same,,Increased,Increased,Favor,No,Not important,Once a day,No,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,No,No,No,Quite a few are crooked,,Disapprove,Favor
out,15,South,32,Married,14,R has never served in the military,Working now,White,Male,85,0,60,0,70,15,15,50,0,0,85,70,60,15,60,50,60,50,70,40,50,40,60,50,40,30,50,50,70,60,50,50,50,50,50,50,70,70,50,50,60,40,50,60,50,Better when control is split,The same ,Yes,Yes,No,Yes,Care a good deal,,Yes,Gotten worse,Republican,Worth it,Decreased,Oppose,Increased,Increased,Favor,Yes,Important,Once a day,Yes,Heterosexual or straight,Somewhat important,Somewhat larger,,,No,No,No,Quite a few are crooked,Approve,Approve,Oppose
in,0,South,77,Married,16,Not currently serving but previously served,Retired,White,Male,85,0,85,30,100,0,0,70,60,0,50,85,55,0,100,50,100,100,85,0,40,0,60,100,0,0,0,0,100,,40,30,100,70,,0,100,70,100,100,100,0,,100,0,Better when control is split,Worse,No,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Decreased,Oppose,Decreased,Decreased,Favor,Yes,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,,,No,No,No,Quite a few are crooked,Approve,Approve,Favor
in,50,South,,Divorced,12,R has never served in the military,Permanently disabled,White,Male,60,50,50,,,85,85,60,15,70,0,60,30,,,70,100,100,100,0,85,0,85,50,100,0,70,30,100,50,,50,100,70,70,15,50,50,60,50,50,0,50,60,50,Better when control is split,The same ,No,No,Yes,Yes,Dont care very much,,Yes,Gotten worse,Independent,Worth it,Increased,,Increased,Increased,Oppose,Yes,Not important,,Yes,Heterosexual or straight,Very important,Much larger,"2. The law should permit abortion only in case of rape, incest, or",Extremely important,No,No,No,Quite a few are crooked,Disapprove,Disapprove,Favor
in,40,South,28,Separated,12,R has never served in the military,Homemaker,White,Female,50,60,50,50,50,50,50,,,50,50,50,60,,50,50,60,70,85,30,50,60,50,60,50,15,50,40,60,50,50,50,70,50,50,40,50,70,50,50,40,50,50,70,50,It doesnt matter,Worse,No,Yes,No,No,Dont care very much,Will be close,Yes,Stayed about the same,Independent,Not worth it,Stayed about the same,Neither favor nor oppose,Increased,Decreased,Favor,No,Important,Once a day,Yes,Heterosexual or straight,Somewhat important,Much larger,,,No,No,No,Not very many are crooked,Disapprove,Approve,Oppose
in,0,South,23,Never married,14,R has never served in the military,Working now,White,Male,60,30,50,,,50,50,,50,50,50,40,60,50,40,85,100,70,100,0,0,50,50,0,70,15,70,0,100,0,30,0,100,30,50,50,100,85,50,70,50,15,50,85,0,Better when control is split,Better,No,Yes,No,No,Dont care very much,Will be close,No,Gotten worse,Republican,Not worth it,Increased,,Increased,Decreased,Favor,Yes,Important,Never,Yes,Heterosexual or straight,Very important,Somewhat larger,"2. The law should permit abortion only in case of rape, incest, or",Somewhat important,No,No,No,Quite a few are crooked,Disapprove,Disapprove,Favor
out,40,South,60,Married,14,Not currently serving but previously served,Working now,White,Male,30,30,40,15,85,0,0,85,30,15,60,40,60,15,85,30,85,50,100,0,50,15,70,50,70,50,50,0,100,0,70,0,50,70,70,50,70,50,30,60,60,15,50,50,50,It doesnt matter,Better,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Not worth it,Decreased,Oppose,Increased,Increased,Favor,Yes,Not important,Once a week or less,No,Heterosexual or straight,Very important,Much larger,,,No,No,No,Quite a few are crooked,Approve,Disapprove,Favor
out,85,South,81,Widowed,15,Not currently serving but previously served,Retired,White,Male,55,15,70,40,,70,100,85,15,70,50,60,100,70,85,70,85,100,100,50,60,50,60,85,85,85,85,100,100,60,70,85,85,85,70,70,85,70,85,70,30,0,50,85,50,Better when control is split,Worse,No,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,Oppose,Increased,Kept about the same,Favor,Yes,Not important,Other ,,Heterosexual or straight,Very important,About the same,,,No,No,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,50,South,64,Divorced,12,R has never served in the military,Retired,White,Female,15,50,40,50,85,50,50,50,50,40,40,15,40,50,85,50,70,50,70,50,50,50,50,50,50,0,50,50,100,0,40,40,50,50,50,50,50,50,50,50,100,50,50,100,0,It doesnt matter,Better,No,No,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Kept about the same,Increased,Oppose,Yes,Important,Once a day,Yes,Heterosexual or straight,Very important,About the same,"2. The law should permit abortion only in case of rape, incest, or",Somewhat important,No,No,No,Not very many are crooked,Disapprove,Disapprove,Oppose
in,30,South,52,Married,12,R has never served in the military,Working now,White,Female,85,0,85,40,85,40,30,100,70,15,70,100,100,15,100,85,100,85,100,50,15,85,100,85,85,70,85,70,100,60,70,40,100,60,85,70,100,85,85,85,100,50,70,100,40,Better when one party controls both,Better,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Stayed about the same,Republican,Worth it,Decreased,,Increased,Increased,Favor,Yes,Not important,A few times a week,Yes,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,No,No,No,Quite a few are crooked,Approve,Approve,Favor
